time,model,state,name,similarity,threshold,fps,distance_mm,infer_ms,yunet_ms,embed_ms
2026-06-02 11:28:29,old_mobilefacenet,ok,lethanhtra,0.91176,0.85,8.01,523,613.189,149.223,388.325
2026-06-02 11:28:32,old_mobilefacenet,ok,lethanhtra,0.91792,0.85,8.02,534,208.593,60.036,145.016
2026-06-02 11:28:35,old_mobilefacenet,ok,lethanhtra,0.86368,0.85,8.0,8190,228.192,93.989,131.128
2026-06-02 11:28:38,old_mobilefacenet,ok,lethanhtra,0.85406,0.85,8.01,715,213.894,73.737,136.788
2026-06-02 11:28:41,old_mobilefacenet,ok,lethanhtra,0.88241,0.85,7.99,708,236.506,90.852,140.556
2026-06-02 11:28:44,old_mobilefacenet,ok,lethanhtra,0.85816,0.85,7.07,680,207.506,67.278,136.834
2026-06-02 11:28:47,old_mobilefacenet,ok,lethanhtra,0.92491,0.85,8.0,492,225.398,75.903,143.376
2026-06-02 11:28:50,old_mobilefacenet,ok,lethanhtra,0.90665,0.85,7.49,414,194.085,66.419,124.528
2026-06-02 11:28:53,old_mobilefacenet,ok,lethanhtra,0.90316,0.85,7.99,393,237.367,92.998,140.972
2026-06-02 11:28:56,old_mobilefacenet,ok,lethanhtra,0.88244,0.85,7.99,327,211.221,71.028,136.751
2026-06-02 11:28:59,old_mobilefacenet,ok,lethanhtra,0.8807,0.85,7.99,8190,203.979,59.587,141.183
2026-06-02 11:29:02,old_mobilefacenet,deny,,0.77329,0.85,8.0,729,205.07,70.866,131.106
2026-06-02 11:29:05,old_mobilefacenet,ok,lethanhtra,0.89351,0.85,7.99,648,201.062,61.37,136.661
2026-06-02 11:29:08,old_mobilefacenet,ok,lethanhtra,0.88233,0.85,8.0,655,223.22,72.002,148.156
2026-06-02 11:29:12,old_mobilefacenet,ok,lethanhtra,0.85198,0.85,7.99,865,234.383,91.672,139.129
2026-06-02 11:29:15,old_mobilefacenet,deny,,0.84494,0.85,7.51,933,226.683,87.454,136.203
2026-06-02 11:29:18,old_mobilefacenet,deny,,0.81885,0.85,7.99,867,234.892,89.916,140.413
2026-06-02 11:29:21,old_mobilefacenet,deny,,0.81402,0.85,7.51,816,199.882,62.103,134.682
2026-06-02 11:29:24,old_mobilefacenet,ok,lethanhtra,0.8657,0.85,8.0,816,205.538,71.487,131.027
2026-06-02 11:29:27,old_mobilefacenet,ok,lethanhtra,0.88033,0.85,8.0,898,224.93,60.777,160.931
2026-06-02 11:29:30,old_mobilefacenet,deny,,0.78884,0.85,7.49,795,194.107,60.691,129.666
2026-06-02 11:29:33,old_mobilefacenet,ok,lethanhtra,0.9182,0.85,8.0,515,228.485,72.493,152.723
2026-06-02 11:29:36,old_mobilefacenet,ok,lethanhtra,0.9183,0.85,7.5,557,217.916,72.38,142.068
2026-06-02 11:29:39,old_mobilefacenet,ok,lethanhtra,0.91601,0.85,8.0,541,199.867,65.177,131.183
